timestamp,ip_src,ip_dst,ip_proto,packet_count,label,reason
1769184621.722315,10.0.0.2,10.0.0.1,6,53988,Warning,Elevated Traffic (861 pps)
1769184621.725854,10.0.0.1,10.0.0.2,6,29898,Warning,Elevated Traffic (861 pps)
1769184622.724881,10.0.0.2,10.0.0.1,6,54857,Warning,Elevated Traffic (866 pps)
1769184622.727522,10.0.0.1,10.0.0.2,6,30767,Warning,Elevated Traffic (866 pps)
1769184623.741895,10.0.0.2,10.0.0.1,6,55730,Warning,Elevated Traffic (858 pps)
1769184623.745889,10.0.0.1,10.0.0.2,6,31640,Warning,Elevated Traffic (858 pps)
1769184624.757753,10.0.0.2,10.0.0.1,6,56611,Warning,Elevated Traffic (867 pps)
1769184624.760094,10.0.0.1,10.0.0.2,6,32521,Warning,Elevated Traffic (867 pps)
1769184625.779612,10.0.0.2,10.0.0.1,6,57497,Warning,Elevated Traffic (867 pps)
1769184625.78214,10.0.0.1,10.0.0.2,6,33407,Warning,Elevated Traffic (867 pps)
1769184626.782391,10.0.0.2,10.0.0.1,6,58368,Warning,Elevated Traffic (868 pps)
1769184626.784804,10.0.0.1,10.0.0.2,6,34278,Warning,Elevated Traffic (868 pps)
1769184627.790525,10.0.0.2,10.0.0.1,6,59249,Warning,Elevated Traffic (873 pps)
1769184627.793362,10.0.0.1,10.0.0.2,6,35159,Warning,Elevated Traffic (873 pps)
1769184628.847029,10.0.0.2,10.0.0.1,6,60116,Warning,Elevated Traffic (820 pps)
1769184628.849182,10.0.0.1,10.0.0.2,6,36026,Warning,Elevated Traffic (820 pps)
1769184629.811903,10.0.0.2,10.0.0.1,6,60981,Warning,Elevated Traffic (896 pps)
1769184629.815288,10.0.0.1,10.0.0.2,6,36891,Warning,Elevated Traffic (896 pps)
1769184630.828081,10.0.0.2,10.0.0.1,6,61846,Warning,Elevated Traffic (851 pps)
1769184630.83059,10.0.0.1,10.0.0.2,6,37756,Warning,Elevated Traffic (851 pps)
1769184631.843134,10.0.0.2,10.0.0.1,6,62718,Warning,Elevated Traffic (858 pps)
1769184631.845863,10.0.0.1,10.0.0.2,6,38628,Warning,Elevated Traffic (858 pps)
1769184632.849019,10.0.0.2,10.0.0.1,6,63590,Warning,Elevated Traffic (867 pps)
1769184632.851763,10.0.0.1,10.0.0.2,6,39500,Warning,Elevated Traffic (867 pps)
1769184633.865883,10.0.0.2,10.0.0.1,6,64476,Warning,Elevated Traffic (870 pps)
1769184633.868529,10.0.0.1,10.0.0.2,6,40386,Warning,Elevated Traffic (870 pps)
1769184634.882003,10.0.0.2,10.0.0.1,6,65346,Warning,Elevated Traffic (856 pps)
1769184634.884774,10.0.0.1,10.0.0.2,6,41256,Warning,Elevated Traffic (856 pps)
1769184635.897585,10.0.0.2,10.0.0.1,6,66235,Warning,Elevated Traffic (876 pps)
1769184635.900372,10.0.0.1,10.0.0.2,6,42145,Warning,Elevated Traffic (876 pps)
1769184636.902322,10.0.0.2,10.0.0.1,6,67126,Warning,Elevated Traffic (886 pps)
1769184636.904984,10.0.0.1,10.0.0.2,6,43036,Warning,Elevated Traffic (886 pps)
1769184637.905484,10.0.0.2,10.0.0.1,6,68009,Warning,Elevated Traffic (880 pps)
1769184637.907852,10.0.0.1,10.0.0.2,6,43919,Warning,Elevated Traffic (880 pps)
1769184638.919178,10.0.0.2,10.0.0.1,6,68887,Warning,Elevated Traffic (865 pps)
1769184638.921746,10.0.0.1,10.0.0.2,6,44797,Warning,Elevated Traffic (865 pps)
1769184639.923954,10.0.0.2,10.0.0.1,6,69780,Warning,Elevated Traffic (888 pps)
1769184639.926594,10.0.0.1,10.0.0.2,6,45690,Warning,Elevated Traffic (888 pps)
1769184640.939222,10.0.0.2,10.0.0.1,6,70649,Warning,Elevated Traffic (856 pps)
