Timestamp,Blocked_MBps,Allowed_Attack_MBps,Benign_MBps
23:09:31,0.0000,0.0000,0.0000
23:09:32,0.0000,0.0000,0.0000
23:09:33,0.0000,0.0000,0.0000
23:09:34,0.0000,0.0000,0.0000
23:09:35,0.0000,0.0000,0.0000
23:09:36,0.0000,0.0000,0.0000
23:09:37,0.0000,0.0000,0.0000
23:09:38,0.0000,0.0000,0.0000
23:09:39,0.0000,0.0000,0.0000
23:09:40,0.0000,0.0000,0.0000
23:09:41,0.0000,0.0000,0.0000
23:09:42,0.0000,0.0000,0.0000
23:09:43,0.0000,0.0000,0.0000
23:09:44,0.0000,0.0000,0.0000
23:09:45,0.0000,0.0000,0.0000
23:09:46,0.0000,0.0000,0.0000
23:09:47,0.0000,0.0000,0.0000
23:09:48,0.0000,0.0000,0.0000
23:09:49,0.0000,0.0000,0.0232
23:09:50,0.0000,0.0000,0.0882
23:09:51,0.0000,0.0000,0.0888
23:09:52,0.0000,0.0000,0.0859
23:09:53,0.0000,0.0000,0.0949
23:09:54,0.0000,0.0000,0.0908
23:09:55,0.0000,0.0000,0.0898
23:09:56,0.0000,0.0000,0.0913
23:09:57,0.0000,0.0000,0.0881
23:09:58,0.0000,0.0000,0.0897
23:09:59,0.0000,0.0000,0.0888
23:10:00,0.0000,0.0000,0.0894
23:10:01,0.0000,0.0000,0.0879
23:10:02,0.0000,0.0000,0.0900
23:10:03,0.0000,0.0000,0.0910
23:10:04,0.0000,0.0000,0.0905
23:10:05,0.0000,0.0000,0.0900
23:10:06,0.0000,0.0000,0.0893
23:10:07,0.0000,0.0000,0.0896
23:10:08,0.0000,0.0000,0.0896
23:10:09,0.0000,0.0000,0.0907
23:10:10,0.0000,0.0000,0.0884
23:10:11,0.0000,0.0000,0.0901
23:10:12,0.0000,0.0000,0.0905
23:10:13,0.0000,0.0000,0.0887
23:10:14,0.0000,0.0000,0.1341
23:10:15,0.0000,0.0000,0.0907
23:10:16,0.0000,0.0000,0.0897
23:10:17,0.0000,0.0000,0.0889
23:10:18,0.0000,0.0000,0.0891
23:10:19,0.0000,0.0000,0.0888
23:10:20,0.0000,0.0000,0.0883
23:10:21,0.0000,0.0000,0.0879
23:10:22,0.0000,0.0000,0.0887
23:10:23,0.0000,0.0000,0.0893
23:10:24,0.0000,0.0000,0.0884
23:10:25,0.0000,0.0000,0.0893
23:10:26,0.0000,0.0000,0.0893
23:10:27,0.0000,0.0000,0.0895
23:10:28,0.0000,0.0000,0.0900
23:10:29,0.0000,0.0000,0.0845
23:10:30,0.0000,0.0000,0.0923
23:10:31,0.0000,0.0000,0.0878
23:10:32,0.0000,0.0000,0.0884
23:10:33,0.0000,0.0000,0.0893
23:10:34,0.0000,0.0000,0.0897
23:10:35,0.0000,0.0000,0.0882
23:10:36,0.0000,0.0000,0.0902
23:10:37,0.0000,0.0000,0.0913
23:10:38,0.0000,0.0000,0.0907
23:10:39,0.0000,0.0000,0.0892
23:10:40,0.0000,0.0000,0.0915
23:10:41,0.0000,0.0000,0.0882
23:10:42,0.0000,0.0000,0.0878
23:10:43,0.0000,0.0000,0.0906
23:10:44,0.0000,0.0000,0.0900
23:10:45,0.0000,0.0000,0.0890
23:10:46,0.0000,0.0000,0.0904
23:10:47,0.0000,0.0000,0.0900
23:10:48,0.0000,0.0000,0.0894
23:10:50,0.0000,0.0000,0.0894
23:10:51,0.0000,0.0000,0.0908
23:10:52,0.0000,0.0000,0.0888
23:10:53,0.0000,0.0000,0.0913
23:10:54,0.0000,0.0000,0.0910
23:10:55,0.0000,0.0000,0.0870
23:10:56,0.0000,0.0000,0.0940
23:10:57,0.0000,0.0000,0.0897
23:10:58,0.0000,0.0000,0.0885
23:10:59,0.0000,0.0000,0.0854
23:11:00,0.0000,0.0000,0.0941
23:11:01,0.0000,0.0000,0.0894
23:11:02,0.0000,0.0000,0.0893
23:11:03,0.0000,0.0000,0.0854
23:11:04,0.0000,0.0000,0.0960
23:11:05,0.0000,0.0000,0.0888
23:11:06,0.0000,0.0000,0.1327
23:11:07,0.0000,0.0000,0.0899
23:11:08,0.0000,0.0000,0.0896
23:11:09,0.0000,0.0000,0.0892
23:11:10,0.0000,0.0000,0.0881
23:11:11,0.0000,0.0000,0.0892
23:11:12,0.0000,0.0000,0.0895
23:11:13,0.0000,0.0000,0.0859
23:11:14,0.0000,0.0000,0.0890
23:11:15,0.0000,0.0000,0.0895
23:11:16,0.0000,0.0000,0.0891
23:11:17,0.0000,0.0000,0.0507
23:11:18,0.0000,0.0000,0.0000
23:11:19,0.0000,0.0000,0.0000
23:11:20,0.0000,0.0000,0.0000
23:11:21,0.0000,0.0000,0.0000
23:11:22,0.0000,0.0000,0.0000
23:11:23,0.0000,0.0000,0.0000
23:11:24,0.0000,0.0000,0.0000
23:11:25,0.0000,0.0000,0.0000
23:11:26,0.0000,0.0000,0.0000
23:11:27,0.0000,0.0000,0.0000
23:11:28,0.0000,0.0000,0.0000
23:11:29,0.0000,0.0000,0.0000
23:11:30,0.0000,0.0000,0.0000
23:11:31,0.0000,0.0000,0.0000
23:11:32,0.0000,0.0000,0.0000
23:11:33,0.0000,0.0000,0.0000
23:11:34,0.0000,0.0000,0.0000
23:11:35,0.0000,0.0000,0.0000
23:11:36,0.0000,0.0000,0.0000
23:11:37,0.0000,0.0000,0.0000
23:11:38,0.0000,0.0000,0.0000
23:11:39,0.0000,0.0000,0.0000
23:11:40,0.0000,0.0000,0.0000
23:11:41,0.0000,0.0000,0.0000
23:11:42,0.0000,0.0000,0.0000
23:11:43,0.0000,0.0000,0.0000
23:11:44,0.0000,0.0000,0.0000
23:11:45,0.0000,0.0000,0.0000
23:11:46,0.0000,0.0000,0.0000
23:11:47,0.0000,0.0000,0.0000
23:11:48,0.0000,0.0000,0.0000
23:11:49,0.0000,0.0000,0.0000
23:11:50,0.0000,0.0000,0.0000
23:11:51,0.0000,0.0000,0.0000
23:11:52,0.0000,0.0000,0.0000
23:11:53,0.0000,0.0000,0.0000
23:11:54,0.0000,0.0000,0.0000
23:11:55,0.0000,0.0000,0.0000
23:11:56,0.0000,0.0000,0.0000
23:11:57,0.0000,0.0000,0.0000
23:11:58,0.0000,0.0000,0.0000
23:11:59,0.0000,0.0000,0.0000
23:12:00,0.0000,0.0000,0.0000
23:12:02,0.0000,0.0000,0.0000
23:12:03,0.0000,0.0000,0.0000
23:12:04,0.0000,0.0000,0.0000
23:12:05,0.0000,0.0000,0.0000
23:12:06,0.0000,0.0000,0.0000
23:12:07,0.0000,0.0000,0.0000
23:12:08,0.0000,0.0000,0.0000
23:12:09,0.0000,0.0000,0.0000
23:12:10,0.0000,0.0000,0.0000
23:12:11,0.0000,0.0000,0.0000
23:12:12,0.0000,0.0000,0.0000
23:12:13,0.0000,0.0000,0.0000
23:12:14,0.0000,0.0000,0.0000
23:12:15,0.0000,0.0000,0.0000
23:12:16,0.0000,0.0000,0.0000
23:12:17,0.0000,0.0000,0.0000
23:12:18,0.0000,0.0000,0.0000
23:12:19,0.0000,0.0000,0.0000
23:12:20,0.0000,0.0000,0.0000
23:12:21,0.0000,0.0000,0.0000
23:12:22,0.0000,0.0000,0.0000
23:12:23,0.0000,0.0000,0.0000
23:12:24,0.0000,0.0000,0.0000
23:12:25,0.0000,0.0000,0.0000
23:12:26,0.0000,0.0000,0.0000
23:12:27,0.0000,0.0000,0.0000
23:12:28,0.0000,0.0000,0.0000
23:12:29,0.0000,0.0000,0.0000
23:12:30,0.0000,0.0000,0.0000
23:12:31,0.0000,0.0000,0.0000
23:12:32,0.0000,0.0000,0.0000
23:12:33,0.0000,0.0000,0.0000
23:12:34,0.0000,0.0000,0.0000
23:12:35,0.0000,0.0000,0.0000
23:12:36,0.0000,0.0000,0.0000
23:12:37,0.0000,0.0000,0.0000
23:12:38,0.0000,0.0000,0.0000
23:12:39,0.0000,0.0000,0.0000
23:12:40,0.0000,0.0000,0.0000
23:12:41,0.0000,0.0000,0.0000
23:12:42,0.0000,0.0000,0.0000
23:12:43,0.0000,0.0000,0.0000
23:12:44,0.0000,0.0000,0.0000
23:12:45,0.0000,0.0000,0.0000
23:12:46,0.0000,0.0000,0.0000
23:12:47,0.0000,0.0000,0.0000
23:12:48,0.0000,0.0000,0.0000
23:12:49,0.0000,0.0000,0.0000
23:12:50,0.0000,0.0000,0.0000
