Attacker_IP,Total_Blocks,Attack_Methods,Last_Seen
10.0.0.1,1,UDP,23:59:34
10.0.0.3,1,UDP,00:00:16
10.0.0.7,1,UDP,00:01:11
10.0.0.9,2,TCP,00:04:11
10.0.0.10,1,TCP,00:03:10
10.0.0.15,2,ICMP,00:07:47
