Flow ID,Source IP,Src Port,Destination IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Label
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,19/01/2026 14:53:57,1710.988000,197659,0,8378118,0,0,0,0,0,78459.40,51.89,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,19/01/2026 20:25:11,0.001000,142179,0,5971518,0,0,0,0,0,59715180.00,1421790.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,19/01/2026 20:25:12,0.652000,232710,0,9773820,0,0,0,0,0,5217898.31,124235.67,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,19/01/2026 20:49:48,0.000000,3905,0,164010,0,0,0,0,0,1640100.00,39050.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,19/01/2026 20:49:49,0.095000,206591,0,8676822,0,0,0,0,0,48794492.95,1161773.64,0,0,0,DDoS
10.0.0.9-10.0.0.10-17-0-0,10.0.0.9,0,10.0.0.10,0,17,19/01/2026 20:50:15,0.649000,438,0,18396,0,0,0,0,0,28345.15,674.88,0,0,0,DDoS
10.0.0.9-10.0.0.10-17-0-0,10.0.0.9,0,10.0.0.10,0,17,19/01/2026 20:50:15,0.653000,439,0,18438,0,0,0,0,0,28235.83,672.28,0,0,0,DDoS
10.0.0.11-10.0.0.12-17-0-0,10.0.0.11,0,10.0.0.12,0,17,19/01/2026 20:52:03,0.858000,4848,0,203616,0,0,0,0,0,237314.69,5650.35,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,19/01/2026 21:01:05,0.000000,225514,0,9471588,0,0,0,0,0,94715880.00,2255140.00,0,0,0,DDoS
10.0.0.1-10.0.0.2-17-0-0,10.0.0.1,0,10.0.0.2,0,17,19/01/2026 21:01:06,0.891000,251418,0,10559556,0,0,0,0,0,1131138.27,26931.86,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:35,0.000000,133548,0,5609016,0,0,0,0,0,56090160.00,1335480.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:35,0.000000,339689,0,14266938,0,0,0,0,0,86579220.00,2061410.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:35,0.020000,549301,0,23070642,0,0,0,0,0,88037040.00,2096120.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:35,0.010000,757589,0,31818738,0,0,0,0,0,87480960.00,2082880.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:35,0.165000,933794,0,39219348,0,0,0,0,0,32000651.68,761920.28,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:40,0.001000,121417,0,5099514,0,0,0,0,0,50995140.00,1214170.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:40,0.009000,328380,0,13791960,0,0,0,0,0,86924460.00,2069630.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:40,0.000000,538831,0,22630902,0,0,0,0,0,88389420.00,2104510.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:40,0.012000,747912,0,31412304,0,0,0,0,0,87814020.00,2090810.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:40,0.001000,928737,0,39006954,0,0,0,0,0,75946500.00,1808250.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.000000,112035,0,4705470,0,0,0,0,0,47054700.00,1120350.00,0,0,0,DDoS
10.0.0.11-10.0.0.2-17-0-0,10.0.0.11,0,10.0.0.2,0,17,19/01/2026 21:01:41,0.009000,319815,0,13432230,0,0,0,0,0,87267600.00,2077800.00,0,0,0,DDoS
