Timestamp,SrcIP,DstIP,Proto,PPS,AI_Prob_Normal,AI_Prob_Attack,Verdict,Action,Reason
2026-01-22 18:49:13,10.0.0.5,10.0.0.6,17,93,0.95,0.05,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 18:49:14,10.0.0.5,10.0.0.6,17,100,0.95,0.05,WARNING,ALERT,Elevated Traffic (100 pps)
2026-01-22 18:49:15,10.0.0.5,10.0.0.6,17,97,0.95,0.05,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 18:49:16,10.0.0.5,10.0.0.6,17,94,0.95,0.05,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:02:14,10.0.0.1,10.0.0.2,17,501454,0.15,0.85,ATTACK,BLOCKED,AI Detected (UDP Volumetric Flood)
2026-01-22 19:02:54,10.0.0.3,10.0.0.4,17,862,0.45,0.55,ATTACK,BLOCKED,Volumetric Flood > 500pps
2026-01-22 19:02:55,10.0.0.3,10.0.0.4,17,80,1.00,0.00,WARNING,ALERT,Elevated Traffic (79 pps)
2026-01-22 19:03:13,10.0.0.5,10.0.0.6,17,97,1.00,0.00,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:03:14,10.0.0.5,10.0.0.6,17,93,1.00,0.00,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:03:15,10.0.0.5,10.0.0.6,17,102,1.00,0.00,WARNING,ALERT,Elevated Traffic (101 pps)
2026-01-22 19:03:16,10.0.0.5,10.0.0.6,17,98,0.95,0.05,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:03:17,10.0.0.5,10.0.0.6,17,93,0.95,0.05,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:03:18,10.0.0.5,10.0.0.6,17,102,0.95,0.05,WARNING,ALERT,Elevated Traffic (102 pps)
2026-01-22 19:03:19,10.0.0.5,10.0.0.6,17,97,0.95,0.05,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:03:20,10.0.0.5,10.0.0.6,17,94,0.95,0.05,WARNING,ALERT,Elevated Traffic (93 pps)
2026-01-22 19:03:21,10.0.0.5,10.0.0.6,17,101,0.95,0.05,WARNING,ALERT,Elevated Traffic (101 pps)
2026-01-22 19:03:22,10.0.0.5,10.0.0.6,17,96,0.95,0.05,WARNING,ALERT,Elevated Traffic (96 pps)
2026-01-22 19:03:23,10.0.0.5,10.0.0.6,17,95,0.95,0.05,WARNING,ALERT,Elevated Traffic (95 pps)
2026-01-22 19:03:24,10.0.0.5,10.0.0.6,17,101,0.95,0.05,WARNING,ALERT,Elevated Traffic (101 pps)
2026-01-22 19:03:25,10.0.0.5,10.0.0.6,17,98,0.95,0.05,WARNING,ALERT,Elevated Traffic (98 pps)
2026-01-22 19:03:26,10.0.0.5,10.0.0.6,17,95,0.95,0.05,WARNING,ALERT,Elevated Traffic (94 pps)
2026-01-22 19:03:27,10.0.0.5,10.0.0.6,17,100,0.95,0.05,WARNING,ALERT,Elevated Traffic (99 pps)
2026-01-22 19:03:28,10.0.0.5,10.0.0.6,17,98,0.95,0.05,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:03:29,10.0.0.5,10.0.0.6,17,96,0.95,0.05,WARNING,ALERT,Elevated Traffic (95 pps)
2026-01-22 19:03:30,10.0.0.5,10.0.0.6,17,101,0.95,0.05,WARNING,ALERT,Elevated Traffic (100 pps)
2026-01-22 19:03:31,10.0.0.5,10.0.0.6,17,98,0.95,0.05,WARNING,ALERT,Elevated Traffic (98 pps)
2026-01-22 19:03:32,10.0.0.5,10.0.0.6,17,95,0.95,0.05,WARNING,ALERT,Elevated Traffic (94 pps)
2026-01-22 19:03:33,10.0.0.5,10.0.0.6,17,102,0.95,0.05,WARNING,ALERT,Elevated Traffic (102 pps)
2026-01-22 19:03:34,10.0.0.5,10.0.0.6,17,94,0.90,0.10,WARNING,ALERT,Elevated Traffic (94 pps)
2026-01-22 19:03:35,10.0.0.5,10.0.0.6,17,101,0.90,0.10,WARNING,ALERT,Elevated Traffic (100 pps)
2026-01-22 19:03:36,10.0.0.5,10.0.0.6,17,98,0.90,0.10,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:03:37,10.0.0.5,10.0.0.6,17,95,0.90,0.10,WARNING,ALERT,Elevated Traffic (94 pps)
2026-01-22 19:03:38,10.0.0.5,10.0.0.6,17,102,0.90,0.10,WARNING,ALERT,Elevated Traffic (102 pps)
2026-01-22 19:03:39,10.0.0.5,10.0.0.6,17,98,0.90,0.10,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:03:40,10.0.0.5,10.0.0.6,17,95,0.85,0.15,WARNING,ALERT,Elevated Traffic (95 pps)
2026-01-22 19:03:41,10.0.0.5,10.0.0.6,17,101,0.85,0.15,WARNING,ALERT,Elevated Traffic (100 pps)
2026-01-22 19:03:42,10.0.0.5,10.0.0.6,17,98,0.85,0.15,WARNING,ALERT,Elevated Traffic (97 pps)
2026-01-22 19:03:43,10.0.0.5,10.0.0.6,17,93,0.85,0.15,WARNING,ALERT,Elevated Traffic (92 pps)
2026-01-22 19:03:44,10.0.0.5,10.0.0.6,17,100,0.85,0.15,WARNING,ALERT,Elevated Traffic (100 pps)
2026-01-22 19:03:48,10.0.0.5,10.0.0.6,17,100,0.85,0.15,WARNING,ALERT,Elevated Traffic (100 pps)
